ABSTIMMUNGSTAG,STAT_VORLAGE_ID,VORLAGE_KURZBEZ,VORLAGE_LANGBEZ,VORLAGENART,ABSTIMMUNGSART_BEZ,JA_ANTEIL_PROZENT,STIMMBETEILIGUNG,JA_STIMMEN,NEIN_STIMMEN,EINGELEGTE_STIMMEN,GÜLTIGE_STIMMEN,UNGÜLTIGE_STIMMEN,LEERE_STIMMEN,ANNEHMENDE_GEBIETE,ABLEHNENDE_GEBIETE,URL_VOLKSABSTIMMUNG,URL_ZEITUNG,URL_AMTSBLATT
"10.03.1831",800,"Kantonsverfassung","Kantonsverfassung","Obligatorisches Referendum","kantonal",95.92,79.2,40503,1721,42274,42224,50,0,,,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18310310_Volksabstimmung.pdf",,
"04.02.1838",801,"Mandatsverteilung zwischen Stadt und Landschaft bei den Grosssratswahlen","Mandatsverteilung zwischen Stadt und Landschaft bei den Grosssratswahlen","Obligatorisches Referendum","kantonal",81.92,33.87,15307,3379,18686,18686,0,0,140,20,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18380204_Volksabstimmung.pdf",,
"16.08.1840",802,"Mitgliederzahl des Regierungsrates und des Obergerichts","Mitgliederzahl des Regierungsrates und des Obergerichts","Obligatorisches Referendum","kantonal",71.56,33.9,11943,4747,16690,16690,0,0,116,40,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18400816_Volksabstimmung.pdf",,
"16.08.1840",804,"Vermehrung der Grossratswahlkreise","Vermehrung der Grossratswahlkreise","Obligatorisches Referendum","kantonal",76.72,31.54,11914,3615,15527,15529,0,0,131,25,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18400816_Volksabstimmung.pdf",,
"16.08.1840",803,"Einführung von Ordnungs- u. Polizeistrafen","Einführung von Ordnungs- u. Polizeistrafen","Obligatorisches Referendum","kantonal",52.29,33.69,8673,7914,16587,16587,0,0,78,78,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18400816_Volksabstimmung.pdf",,
"06.06.1848",397,"Totalrevision vom 12. September 1848","Totalrevision vom 12. September 1848","Obligatorisches Referendum","eidgenössisch",90.89,0,25119,2517,0,27636,0,0,,,,,
"18.11.1849",805,"Organisation von Regierungs-: Kirchen- und Erziehungsrat","Organisation von Regierungs-: Kirchen- und Erziehungsrat","Obligatorisches Referendum","kantonal",89.69,17.46,9322,1071,10393,10393,0,0,164,1,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18491118_Volksabstimmung.pdf",,
"18.11.1849",807,"Eidg. Volkszählung als Grundlage für die Mandatsverteilung (bei den Grossratswahlen)","Eidg. Volkszählung als Grundlage für die Mandatsverteilung (bei den Grossratswahlen)","Obligatorisches Referendum","kantonal",91.86,17.1,9350,828,10178,10178,0,0,164,1,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18491118_Volksabstimmung.pdf",,
"18.11.1849",806,"Wahl der Pfarrer und Lehrer durch die Gemeinden","Wahl der Pfarrer und Lehrer durch die Gemeinden","Obligatorisches Referendum","kantonal",91.7,17.78,9706,878,10584,10584,0,0,162,3,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18491118_Volksabstimmung.pdf",,
"23.11.1851",808,"Einführung des Schwurgerichts","Einführung des Schwurgerichts","Obligatorisches Referendum","kantonal",81.85,15.03,7554,1675,9229,9229,0,0,151,13,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/18511123_Volksabstimmung.pdf",,
